http://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html,90fa61229261140a,Tipping the Velvet,53.74,53.74,20,,Historical Fiction,One,http://books.toscrape.com/media/cache/08/e9/08e94f3731d7d6b760dfbfbc02ca5c62.jpg
http://books.toscrape.com/catalogue/forever-and-forever-the-courtship-of-henry-longfellow-and-fanny-appleton_894/index.html,9beb96a2300109d7,Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,29.69,16,,Historical Fiction,Three,http://books.toscrape.com/media/cache/f9/9e/f99e760b894d10c6e5ed578618918367.jpg
http://books.toscrape.com/catalogue/a-flight-of-arrows-the-pathfinders-2_876/index.html,3a6fb983e2554023,A Flight of Arrows (The Pathfinders #2),55.53,55.53,16,,Historical Fiction,Five,http://books.toscrape.com/media/cache/ec/65/ec651ed66822d4b68938afa645b1ece2.jpg
http://books.toscrape.com/catalogue/the-house-by-the-lake_846/index.html,9287e238d7c3b06e,The House by the Lake,36.95,36.95,15,,Historical Fiction,One,http://books.toscrape.com/media/cache/46/a2/46a2c968bfccf1979cc5576085eec6dd.jpg
http://books.toscrape.com/catalogue/mrs-houdini_821/index.html,a40723994f715420,Mrs. Houdini,30.25,30.25,15,,Historical Fiction,Five,http://books.toscrape.com/media/cache/b4/45/b445dbc81ca3aff1321a6bf0d0fa231d.jpg
http://books.toscrape.com/catalogue/the-marriage-of-opposites_759/index.html,52cf2a5933ec5d8f,The Marriage of Opposites,28.08,28.08,14,,Historical Fiction,Four,http://books.toscrape.com/media/cache/33/8e/338e196723f3fb10d5c6990fe54be61d.jpg
http://books.toscrape.com/catalogue/glory-over-everything-beyond-the-kitchen-house_696/index.html,de4b403cb629a29f,Glory over Everything: Beyond The Kitchen House,45.84,45.84,14,,Historical Fiction,Three,http://books.toscrape.com/media/cache/06/ac/06ac98df817412ce2419c4509fa98c80.jpg
http://books.toscrape.com/catalogue/love-lies-and-spies_622/index.html,9546d537fbf99eb6,"Love, Lies and Spies",20.55,20.55,12,,Historical Fiction,Two,http://books.toscrape.com/media/cache/5c/19/5c19785278eaa6bf984ce6659847abc3.jpg
http://books.toscrape.com/catalogue/a-paris-apartment_612/index.html,63343e287971bb0c,A Paris Apartment,39.01,39.01,12,,Historical Fiction,Four,http://books.toscrape.com/media/cache/b3/d9/b3d90aca157d5a250becc8b255a37251.jpg
http://books.toscrape.com/catalogue/lilac-girls_597/index.html,bade9943ee01b63f,Lilac Girls,17.28,17.28,11,,Historical Fiction,Two,http://books.toscrape.com/media/cache/c0/80/c080a1626edf581b780420db13e7b074.jpg
http://books.toscrape.com/catalogue/the-constant-princess-the-tudor-court-1_493/index.html,24933c712f0bca2f,The Constant Princess (The Tudor Court #1),16.62,16.62,7,,Historical Fiction,Three,http://books.toscrape.com/media/cache/ed/52/ed52651826bb23d853aead2753c9befc.jpg
http://books.toscrape.com/catalogue/the-invention-of-wings_448/index.html,e6635f5b0a2c78db,The Invention of Wings,37.34,37.34,6,,Historical Fiction,One,http://books.toscrape.com/media/cache/7a/b0/7ab00e6956f540bfe0018656d5bfe1e4.jpg
http://books.toscrape.com/catalogue/world-without-end-the-pillars-of-the-earth-2_420/index.html,2e5b4ff08a75fd02,World Without End (The Pillars of the Earth #2),32.97,32.97,5,,Historical Fiction,Four,http://books.toscrape.com/media/cache/58/b5/58b5730dd82cbcf6560cf0ab8b56cd9f.jpg
http://books.toscrape.com/catalogue/the-passion-of-dolssa_351/index.html,011674f4a3834b8d,The Passion of Dolssa,28.32,28.32,4,,Historical Fiction,Five,http://books.toscrape.com/media/cache/b3/59/b35975c0df26c40964028a8ccabc9a91.jpg
http://books.toscrape.com/catalogue/girl-with-a-pearl-earring_322/index.html,5eff05e59f905a49,Girl With a Pearl Earring,26.77,26.77,4,,Historical Fiction,One,http://books.toscrape.com/media/cache/b1/5e/b15ec9da5c7b28e2d11347dd2e8c20e5.jpg
http://books.toscrape.com/catalogue/voyager-outlander-3_299/index.html,7feac4000cbc5859,Voyager (Outlander #3),21.07,21.07,3,,Historical Fiction,Five,http://books.toscrape.com/media/cache/6e/22/6e22497cbecedef59be86d1328e4b044.jpg
