http://books.toscrape.com/catalogue/worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html,4c28def39d850cdf,Worlds Elsewhere: Journeys Around Shakespeare’s Globe,40.30,40.30,18,,Nonfiction,Five,http://books.toscrape.com/media/cache/7b/d9/7bd93db091d736d0c6ff9d578e3ba3d7.jpg
http://books.toscrape.com/catalogue/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html,3c039985229453bf,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,31.05,18,,Nonfiction,Three,http://books.toscrape.com/media/cache/7c/10/7c10101fe1759c5a17ba57e4bef9e764.jpg
http://books.toscrape.com/catalogue/reasons-to-stay-alive_959/index.html,c8f7f0cb1abb9cac,Reasons to Stay Alive,26.41,26.41,17,,Nonfiction,Two,http://books.toscrape.com/media/cache/f5/3c/f53c7d21723c860cfbca2b539bc55b8f.jpg
http://books.toscrape.com/catalogue/higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html,c27f6e1f185b0383,#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,23.11,17,,Nonfiction,Five,http://books.toscrape.com/media/cache/71/45/71451e3bba61a8d888a4a2c6526a4bcf.jpg
http://books.toscrape.com/catalogue/unseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/index.html,d170b5a0da46380e,"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,44.18,16,,Nonfiction,Four,http://books.toscrape.com/media/cache/88/a4/88a4b5f7236b8a36ba972be5ebe4f252.jpg
http://books.toscrape.com/catalogue/throwing-rocks-at-the-google-bus-how-growth-became-the-enemy-of-prosperity_948/index.html,7858914fad68493c,Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,31.12,16,,Nonfiction,Three,http://books.toscrape.com/media/cache/f4/21/f4210912ca58ef35f8ad120fe3dfed38.jpg
http://books.toscrape.com/catalogue/the-life-changing-magic-of-tidying-up-the-japanese-art-of-decluttering-and-organizing_936/index.html,0da9aa9d24677fc0,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16.77,16.77,16,,Nonfiction,Three,http://books.toscrape.com/media/cache/26/65/2665876e19a6c92130f02cfda3bd3846.jpg
http://books.toscrape.com/catalogue/the-gutsy-girl-escapades-for-your-life-of-epic-adventure_934/index.html,acd86a5426e21ca0,The Gutsy Girl: Escapades for Your Life of Epic Adventure,37.13,37.13,16,,Nonfiction,One,http://books.toscrape.com/media/cache/73/cb/73cb1236d96f455d712516fffeae2304.jpg
http://books.toscrape.com/catalogue/the-electric-pencil-drawings-from-inside-state-hospital-no-3_933/index.html,a30b270e25489e5c,The Electric Pencil: Drawings from Inside State Hospital No. 3,56.06,56.06,16,,Nonfiction,One,http://books.toscrape.com/media/cache/b1/0f/b10faf0dee8994865437ffc79682dc2f.jpg
http://books.toscrape.com/catalogue/spark-joy-an-illustrated-master-class-on-the-art-of-organizing-and-tidying-up_927/index.html,87b0615b6e1f4d7b,Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,41.83,41.83,16,,Nonfiction,Four,http://books.toscrape.com/media/cache/17/19/1719475c51206a410a90fe5f3708df4c.jpg
http://books.toscrape.com/catalogue/reskilling-america-learning-to-labor-in-the-twenty-first-century_922/index.html,d7310206583a54b6,Reskilling America: Learning to Labor in the Twenty-First Century,19.83,19.83,16,,Nonfiction,Two,http://books.toscrape.com/media/cache/2c/d2/2cd2b814b8a8cd3a49895cbd13a8b1f4.jpg
http://books.toscrape.com/catalogue/in-the-country-we-love-my-family-divided_901/index.html,b136b1b180ca753a,In the Country We Love: My Family Divided,22.00,22.00,16,,Nonfiction,Four,http://books.toscrape.com/media/cache/11/08/1108a8d9ebccd9cd474012121c32a7f5.jpg
http://books.toscrape.com/catalogue/everydata-the-misinformation-hidden-in-the-little-data-you-consume-every-day_891/index.html,311c0dd0e354a33e,Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,54.35,54.35,16,,Nonfiction,Two,http://books.toscrape.com/media/cache/15/97/15972684c6f44f1be5e751d2e067cc16.jpg
http://books.toscrape.com/catalogue/call-the-nurse-true-stories-of-a-country-nurse-on-a-scottish-isle_885/index.html,bee3672891cca906,Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,29.14,29.14,16,,Nonfiction,Five,http://books.toscrape.com/media/cache/c5/f2/c5f2361aab546bc7f851cf93aec94ca3.jpg
http://books.toscrape.com/catalogue/algorithms-to-live-by-the-computer-science-of-human-decisions_880/index.html,38d45839cb1c83c1,Algorithms to Live By: The Computer Science of Human Decisions,30.81,30.81,16,,Nonfiction,One,http://books.toscrape.com/media/cache/28/ea/28ea530a8b7955e422df64beaed7871a.jpg
http://books.toscrape.com/catalogue/the-power-of-now-a-guide-to-spiritual-enlightenment_855/index.html,8ec14b1576cb7cb5,The Power of Now: A Guide to Spiritual Enlightenment,43.54,43.54,15,,Nonfiction,Two,http://books.toscrape.com/media/cache/13/2a/132a17f55f0048a2f2df748c9f5ce4e4.jpg
http://books.toscrape.com/catalogue/the-omnivores-dilemma-a-natural-history-of-four-meals_854/index.html,209adad1015af86f,The Omnivore's Dilemma: A Natural History of Four Meals,38.21,38.21,15,,Nonfiction,Two,http://books.toscrape.com/media/cache/3d/9d/3d9d46815a4be5e5e6f5e641d8268961.jpg
http://books.toscrape.com/catalogue/the-genius-of-birds_843/index.html,42d0d7c92b75fc1c,The Genius of Birds,17.24,17.24,15,,Nonfiction,One,http://books.toscrape.com/media/cache/2e/52/2e52982210cbc8dffe414cab72b52e38.jpg
http://books.toscrape.com/catalogue/the-artists-way-a-spiritual-path-to-higher-creativity_839/index.html,dd047728de72ad62,The Artist's Way: A Spiritual Path to Higher Creativity,38.49,38.49,15,,Nonfiction,Five,http://books.toscrape.com/media/cache/3b/41/3b414b6d0340a0cbbd05be0942ddaada.jpg
http://books.toscrape.com/catalogue/so-youve-been-publicly-shamed_832/index.html,1b33663ad7b95fd8,So You've Been Publicly Shamed,12.23,12.23,15,,Nonfiction,Two,http://books.toscrape.com/media/cache/9d/15/9d150a1d5832bb9e3b82bbc1541912d6.jpg
